reference_scene,secondary_scene,reference_date,secondary_date,orbit_direction,relative_orbit,frame,temporal_baseline_days,asf_temporal_baseline,perpendicular_baseline_m,status
S1A_IW_SLC__1SDV_20240128T122121_20240128T122148_052307_065302_03B1,S1A_IW_SLC__1SDV_20240104T122122_20240104T122149_051957_06471E_AAC9,2024-01-28T12:21:21Z,2024-01-04T12:21:22Z,ASCENDING,85,73,-24.0,-24,78.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240128T122121_20240128T122148_052307_065302_03B1,S1A_IW_SLC__1SDV_20240209T122120_20240209T122147_052482_0658EB_E079,2024-01-28T12:21:21Z,2024-02-09T12:21:20Z,ASCENDING,85,73,12.0,12,132.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240128T122121_20240128T122148_052307_065302_03B1,S1A_IW_SLC__1SDV_20240116T122121_20240116T122148_052132_064D1E_56EB,2024-01-28T12:21:21Z,2024-01-16T12:21:21Z,ASCENDING,85,73,-12.0,-12,181.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240503T122122_20240503T122149_053707_06862C_E741,S1A_IW_SLC__1SDV_20240503T122122_20240503T122149_053707_06862C_E741,2024-05-03T12:21:22Z,2024-05-03T12:21:22Z,ASCENDING,85,73,0.0,0,0.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240503T122122_20240503T122149_053707_06862C_E741,S1A_IW_SLC__1SDV_20240421T122121_20240421T122148_053532_067F4A_881C,2024-05-03T12:21:22Z,2024-04-21T12:21:21Z,ASCENDING,85,73,-12.0,-12,20.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240503T122122_20240503T122149_053707_06862C_E741,S1A_IW_SLC__1SDV_20240527T122122_20240527T122149_054057_069293_5FD5,2024-05-03T12:21:22Z,2024-05-27T12:21:22Z,ASCENDING,85,73,24.0,24,48.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240503T122122_20240503T122149_053707_06862C_E741,S1A_IW_SLC__1SDV_20240515T122121_20240515T122148_053882_068C7D_ECA7,2024-05-03T12:21:22Z,2024-05-15T12:21:21Z,ASCENDING,85,73,12.0,12,258.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240510T121316_20240510T121343_053809_068A02_58C3,S1A_IW_SLC__1SDV_20240510T121316_20240510T121343_053809_068A02_58C3,2024-05-10T12:13:16Z,2024-05-10T12:13:16Z,ASCENDING,12,74,0.0,0,0.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240510T121316_20240510T121343_053809_068A02_58C3,S1A_IW_SLC__1SDV_20240428T121316_20240428T121342_053634_06834C_275A,2024-05-10T12:13:16Z,2024-04-28T12:13:16Z,ASCENDING,12,74,-12.0,-12,-38.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240510T121316_20240510T121343_053809_068A02_58C3,S1A_IW_SLC__1SDV_20240603T121315_20240603T121342_054159_069615_B498,2024-05-10T12:13:16Z,2024-06-03T12:13:15Z,ASCENDING,12,74,24.0,24,74.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240510T121316_20240510T121343_053809_068A02_58C3,S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A,2024-05-10T12:13:16Z,2024-05-22T12:13:15Z,ASCENDING,12,74,12.0,12,226.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240525T000439_20240525T000506_054020_069143_541D,S1A_IW_SLC__1SDV_20240525T000439_20240525T000506_054020_069143_541D,2024-05-25T00:04:39Z,2024-05-25T00:04:39Z,DESCENDING,48,514,0.0,0,0.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240525T000439_20240525T000506_054020_069143_541D,S1A_IW_SLC__1SDV_20240618T000438_20240618T000505_054370_069D59_9296,2024-05-25T00:04:39Z,2024-06-18T00:04:38Z,DESCENDING,48,514,24.0,24,-40.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240525T000439_20240525T000506_054020_069143_541D,S1A_IW_SLC__1SDV_20240606T000438_20240606T000505_054195_06974D_FCBA,2024-05-25T00:04:39Z,2024-06-06T00:04:38Z,DESCENDING,48,514,12.0,12,-81.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240525T000439_20240525T000506_054020_069143_541D,S1A_IW_SLC__1SDV_20240501T000439_20240501T000506_053670_0684AE_4F43,2024-05-25T00:04:39Z,2024-05-01T00:04:39Z,DESCENDING,48,514,-24.0,-24,-181.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,2024-06-15T12:13:15Z,2024-06-15T12:13:15Z,ASCENDING,12,74,0.0,0,0.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,S1A_IW_SLC__1SDV_20240603T121315_20240603T121342_054159_069615_B498,2024-06-15T12:13:15Z,2024-06-03T12:13:15Z,ASCENDING,12,74,-12.0,-12,16.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,S1A_IW_SLC__1SDV_20240627T121314_20240627T121341_054509_06A233_B6A8,2024-06-15T12:13:15Z,2024-06-27T12:13:14Z,ASCENDING,12,74,12.0,12,107.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,S1A_IW_SLC__1SDV_20240709T121313_20240709T121340_054684_06A84C_9C26,2024-06-15T12:13:15Z,2024-07-09T12:13:13Z,ASCENDING,12,74,24.0,24,109.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240615T121315_20240615T121342_054334_069C22_5A68,S1A_IW_SLC__1SDV_20240522T121315_20240522T121342_053984_069006_423A,2024-06-15T12:13:15Z,2024-05-22T12:13:15Z,ASCENDING,12,74,-24.0,-24,168.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240805T000437_20240805T000504_055070_06B5A2_5C63,S1A_IW_SLC__1SDV_20240805T000437_20240805T000504_055070_06B5A2_5C63,2024-08-05T00:04:37Z,2024-08-05T00:04:37Z,DESCENDING,48,514,0.0,0,0.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240805T000437_20240805T000504_055070_06B5A2_5C63,S1A_IW_SLC__1SDV_20240712T000437_20240712T000504_054720_06A984_7A89,2024-08-05T00:04:37Z,2024-07-12T00:04:37Z,DESCENDING,48,514,-24.0,-24,-65.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240805T000437_20240805T000504_055070_06B5A2_5C63,S1A_IW_SLC__1SDV_20240724T000437_20240724T000504_054895_06AF99_32B0,2024-08-05T00:04:37Z,2024-07-24T00:04:37Z,DESCENDING,48,514,-12.0,-12,-92.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240805T000437_20240805T000504_055070_06B5A2_5C63,S1A_IW_SLC__1SDV_20240817T000436_20240817T000504_055245_06BC09_4B0F,2024-08-05T00:04:37Z,2024-08-17T00:04:36Z,DESCENDING,48,514,12.0,12,-105.0,BASELINE_CANDIDATE
S1A_IW_SLC__1SDV_20240805T000437_20240805T000504_055070_06B5A2_5C63,S1A_IW_SLC__1SDV_20240829T000437_20240829T000504_055420_06C27C_BAF4,2024-08-05T00:04:37Z,2024-08-29T00:04:37Z,DESCENDING,48,514,24.0,24,-123.0,BASELINE_CANDIDATE
